COUNTY,MUNICIPAL_,MUNICIPAL1,m18_19.wtd_pct,m20_24.wtd_pct,m25_29.wtd_pct,m30_34.wtd_pct,m35_39.wtd_pct,m40_44.wtd_pct,m45_49.wtd_pct,m50_54.wtd_pct,m55_59.wtd_pct,m60_64.wtd_pct,m65_69.wtd_pct,m70_74.wtd_pct,m75_79.wtd_pct,m80_84.wtd_pct,m85.wtd_pct,f18_19.wtd_pct,f20_24.wtd_pct,f25_29.wtd_pct,f30_34.wtd_pct,f35_39.wtd_pct,f40_44.wtd_pct,f45_49.wtd_pct,f50_54.wtd_pct,f55_59.wtd_pct,f60_64.wtd_pct,f65_69.wtd_pct,f70_74.wtd_pct,f75_79.wtd_pct,f80_84.wtd_pct,f85.wtd_pct,totalpop_pct
46,226,WORCESTER,0.007544484884750167,0.014529628786552862,0.0112664313907543,0.010480285795392102,0.021174245142312285,0.024232449258882908,0.03320700052932765,0.034183277327826056,0.02886466363797807,0.018237226155291622,0.013334794032425061,0.008628120263121078,0.007950451595576355,0.007920870845118052,0.008945124306036572,0.007300689494113227,0.014367345631580831,0.009767244331364066,0.01399361028757197,0.021626457725832816,0.03207214331578746,0.03763241203097974,0.033722113484645246,0.02582502994759504,0.018360240655224565,0.014463240478838934,0.009878262960100949,0.011308448229005232,0.013723960714983795,0.022467049425486312,0.5370073026644553
46,401,AMBLER,0.0016777291221869944,0.004600107168170378,0.007082062531079652,0.00535259378488493,0.00453450919608336,0.004411725723001168,0.005210881006633885,0.004642891353521175,0.004097579511458754,0.002955103698755504,0.002100179651529478,0.0020718596497258874,0.001497895440517819,0.0016509445012969136,0.001001086791468289,0.0016162872608222031,0.004413123437240599,0.0064756452566840095,0.004630463437203089,0.004978222291718875,0.004658265512203778,0.005767781875617205,0.005081485871636773,0.004580316971563105,0.003205364373015907,0.0026894086085793396,0.0025640113668967007,0.0022277018931116804,0.0026244091223304976,0.0035957220867677093,0.11199535849570566
46,402,BRIDGEPORT,0.0020292085714293754,0.00805863436642237,0.01130869899238604,0.009648997915421785,0.007753296229333096,0.0073435891947506255,0.007166441343420791,0.007690588251461361,0.005493340938067823,0.003962065618591547,0.0028181614428311047,0.0019389019824414323,0.001977406141830985,9.732523985554798e-4,6.171393755184237e-4,0.0019392953853517374,0.007785968560064635,0.011751146874668415,0.009253854950686214,0.006216628354302275,0.006514091161643329,0.006601283463628332,0.006639188939338141,0.004800399235053504,0.004408003251861236,0.002910583429223089,0.00307294362884604,0.002771083334986207,0.0019418959093921936,0.0025503068437084404,0.15793639608521604
46,403,BRYN ATHYN,0.0016670311449103014,0.0034172046612094653,0.001759651509764376,0.0017189276465029385,0.0011167248686475906,0.00129422505394774,0.0018857242371053643,0.002410040791916456,0.0021425780451983832,0.0012545137300986702,9.480763194958069e-4,5.562851463834289e-4,0.0011608482117123219,8.555400491495205e-4,5.05574750421709e-4,0.0020969171033099147,0.0031557354238721178,0.001457417231151369,0.0015037163207336324,9.492592707107126e-4,0.0020081874997582368,0.0021000471420251593,0.0026247983644590773,0.0022297549501479725,0.0013887741125779912,0.001003598463315773,0.001257294120594788,0.001014217013997331,0.0013610443096817037,0.0014980449992028325,0.04834175249200268
46,404,COLLEGEVILLE,0.061216207880794585,0.08374110372330433,0.013762629639963974,0.018520865288050727,0.01923761588033567,0.024180053183962835,0.025951085307198227,0.028215148323937334,0.020808321059349474,0.019561137778611487,0.012345786805069368,0.010401275279690321,0.006871966181459866,0.002296791876486212,0.003699278496451253,0.07053234451039453,0.09428683164308703,0.012881674355510143,0.0164115957458755,0.019247377988195657,0.025943645397355344,0.026649858959252013,0.030678265252324515,0.023975024146287098,0.018866311482210924,0.014454102618266565,0.00794291128134304,0.006875720619840459,0.006695967072548535,0.008448038690764506,0.7346989364679215
46,405,CONSHOHOCKEN,0.0014587913756906386,0.0073122869454029385,0.01713904188116951,0.012281812442327148,0.006350069259481448,0.00469820926688056,0.005137678621297489,0.004348139819764895,0.004655187457002521,0.0034657455812651555,0.0021532707756068683,0.0018101658590640975,0.0015099010497006936,0.0011219312136940948,7.761874181311305e-4,0.001124265723542988,0.005632589787535985,0.01646801766206244,0.01075792261982167,0.005203647597550661,0.003997215147676812,0.005448547288502696,0.005516771403345248,0.0042752258829224414,0.0037219090301803155,0.002843885396658279,0.0023320668477823667,0.0022020864236103896,0.0018678829646807248,0.0022921714631144495,0.14790262420546665
46,406,EAST GREENVILLE,0.00378714817487912,0.008570528822139462,0.010744206666847618,0.010087220695716331,0.012294677941816276,0.009139041367248897,0.009408031125106383,0.01008611652028834,0.008027896996623315,0.00491983177000638,0.0033655123663091434,0.0027240187292651456,0.0011041683032163632,0.0011152623091661542,4.7879037033906523e-4,0.003755644750383198,0.009492182420225858,0.010957225234803584,0.01149246859100751,0.0102951813551429,0.009192740597433939,0.010945504832209749,0.009611268072081746,0.007116057212650617,0.0056991095374990105,0.003552553394703295,0.0033601046741224836,0.0020491834826906717,0.0019451611574650566,0.0014867284077805581,0.19680356587916817
46,408,HATBORO,0.0018610019252201157,0.0050450484254643425,0.0059291535247423515,0.00570729698897473,0.0057153474257623125,0.0057327279258019,0.007435447515062329,0.006363358462368362,0.004886091596272005,0.003579890723623105,0.002882910231561072,0.002249367276563052,0.0015880447311011718,0.0010534093641553065,0.0010555892854229657,0.0020784750120386433,0.004465521571948845,0.006408309054823607,0.005610998876004428,0.005522842734705713,0.0056958995077290185,0.0070787591753902444,0.0066317941155961645,0.005400996609450352,0.003978596046827947,0.0035278856134856188,0.002985283098765922,0.002476155087945104,0.0028371273514737334,0.002316030568856412,0.12809935982713688
46,409,HATFIELD,0.0018571418467778077,0.003914930795916111,0.007213466049103904,0.004997459194152655,0.007219740980176363,0.005524479214732529,0.006396276555034394,0.00526875959741178,0.004595280519544422,0.003704848845382836,0.002698415897906479,0.0015930659334320192,0.0011546198386215597,5.355233398941839e-4,6.20299414476872e-4,0.0017663154820999805,0.003903573266761117,0.004966658774902175,0.007349376133472158,0.005864014035731146,0.004112807049310234,0.005793627004652334,0.005785105829664195,0.004851389831114166,0.003451770735104445,0.0023904660017275425,0.0018600314549086275,0.001327769248662905,8.887216959776975e-4,0.0011504329193008874,0.11275636748595352
46,410,JENKINTOWN,0.0018476120225423551,0.004490357074024213,0.004803057411543213,0.005447768555979814,0.005189361909430687,0.005295319565871634,0.006374658493422059,0.007167168662438004,0.007346991518855001,0.00584451509071774,0.003171710109876953,0.003031555360437189,0.0019894343228928084,0.0026429012244814777,0.002035125238886366,0.0014093108004107906,0.0054121015865256,0.006107568498493518,0.005318701562731439,0.005975398818077887,0.00668540797067976,0.0075209618321518965,0.008018044486231113,0.008039952368647433,0.006897857259228336,0.005317917100735256,0.0036048849573832656,0.005135522213196688,0.004228946269055101,0.005704500296943994,0.1520546125818916
